system:index,COMMENTS_,CNTCODE_,COUNTRY_NA,CNTNAME3,NAME1_,PCODE,UNCODEOR
0,False SALB (no codes exist for India),100,India,IND,Andaman & Nicobar,IND001,356
1,False SALB (no codes exist for India),100,India,IND,Andhra Pradesh,IND002,356
2,False SALB (no codes exist for India),100,India,IND,Assam,IND004,356
3,False SALB (no codes exist for India),100,India,IND,Chandigarh,IND006,356
4,False SALB (no codes exist for India),100,India,IND,Dadra and Nagar Haveli,IND007,356
5,False SALB (no codes exist for India),100,India,IND,Delhi,IND009,356
6,False SALB (no codes exist for India),100,India,IND,Gujarat,IND011,356
7,False SALB (no codes exist for India),100,India,IND,Haryana,IND012,356
8,False SALB (no codes exist for India),100,India,IND,Himachal Pradesh,IND013,356
9,False SALB (no codes exist for India),100,India,IND,Jammu and Kashmir,IND014,356
10,False SALB (no codes exist for India),100,India,IND,Kerala,IND016,356
11,False SALB (no codes exist for India),100,India,IND,Lakshadweep,IND017,356
12,False SALB (no codes exist for India),100,India,IND,Maharashtra,IND019,356
13,False SALB (no codes exist for India),100,India,IND,Manipur,IND020,356
14,False SALB (no codes exist for India),100,India,IND,Meghalaya,IND021,356
15,False SALB (no codes exist for India),100,India,IND,Karnataka,IND015,356
16,False SALB (no codes exist for India),100,India,IND,Nagaland,IND023,356
17,False SALB (no codes exist for India),100,India,IND,Orissa,IND024,356
18,False SALB (no codes exist for India),100,India,IND,Pondicherry,IND025,356
19,False SALB (no codes exist for India),100,India,IND,Punjab,IND026,356
20,False SALB (no codes exist for India),100,India,IND,Rajasthan,IND027,356
21,False SALB (no codes exist for India),100,India,IND,Tamil Nadu,IND029,356
22,False SALB (no codes exist for India),100,India,IND,Tripura,IND030,356
23,False SALB (no codes exist for India),100,India,IND,West Bengal,IND032,356
24,False SALB (no codes exist for India),100,India,IND,Sikkim,IND028,356
25,False SALB (no codes exist for India),100,India,IND,Arunachal Pradesh,IND003,356
26,False SALB (no codes exist for India),100,India,IND,Mizoram,IND022,356
27,False SALB (no codes exist for India),100,India,IND,Daman and Diu,IND008,356
28,False SALB (no codes exist for India),100,India,IND,Goa,IND010,356
29,False SALB (no codes exist for India),100,India,IND,Bihar,IND005,356
30,False SALB (no codes exist for India),100,India,IND,Madhya Pradesh,IND018,356
31,False SALB (no codes exist for India),100,India,IND,Uttar Pradesh,IND031,356
