"UNCODEOR,N,20,5","CNTNAME3,C,11","COUNTRY_NA,C,24","CNTCODE,N,20,5","NAME1_,C,33","PCODE,C,6","COMMENTS_,C,50"
840,USA,United States of America,231,Alabama,USA001,
840,USA,United States of America,231,Alaska,USA002,
840,USA,United States of America,231,Arizona,USA003,
840,USA,United States of America,231,Arkansas,USA004,
840,USA,United States of America,231,California,USA005,
840,USA,United States of America,231,Colorado,USA006,
840,USA,United States of America,231,Connecticut,USA007,
840,USA,United States of America,231,Delaware,USA008,
840,USA,United States of America,231,District of Columbia,USA009,
840,USA,United States of America,231,Florida,USA010,
840,USA,United States of America,231,Georgia,USA011,
840,USA,United States of America,231,Hawaii,USA012,
840,USA,United States of America,231,Idaho,USA013,
840,USA,United States of America,231,Illinois,USA014,
840,USA,United States of America,231,Indiana,USA015,
840,USA,United States of America,231,Iowa,USA016,
840,USA,United States of America,231,Kansas,USA017,
840,USA,United States of America,231,Kentucky,USA018,
840,USA,United States of America,231,Louisiana,USA019,
840,USA,United States of America,231,Maine,USA020,
840,USA,United States of America,231,Maryland,USA021,
840,USA,United States of America,231,Massachusetts,USA022,
840,USA,United States of America,231,Michigan,USA023,
840,USA,United States of America,231,Minnesota,USA024,
840,USA,United States of America,231,Mississippi,USA025,
840,USA,United States of America,231,Missouri,USA026,
840,USA,United States of America,231,Montana,USA027,
840,USA,United States of America,231,Nebraska,USA028,
840,USA,United States of America,231,Nevada,USA029,
840,USA,United States of America,231,New Hampshire,USA030,
840,USA,United States of America,231,New Jersey,USA031,
840,USA,United States of America,231,New Mexico,USA032,
840,USA,United States of America,231,New York,USA033,
840,USA,United States of America,231,North Carolina,USA034,
840,USA,United States of America,231,North Dakota,USA035,
840,USA,United States of America,231,Ohio,USA036,
840,USA,United States of America,231,Oklahoma,USA037,
840,USA,United States of America,231,Oregon,USA038,
840,USA,United States of America,231,Pennsylvania,USA039,
840,USA,United States of America,231,Rhode Island,USA040,
840,USA,United States of America,231,South Carolina,USA041,
840,USA,United States of America,231,South Dakota,USA042,
840,USA,United States of America,231,Tennessee,USA043,
840,USA,United States of America,231,Texas,USA044,
840,USA,United States of America,231,Utah,USA045,
840,USA,United States of America,231,Vermont,USA046,
840,USA,United States of America,231,Virginia,USA047,
840,USA,United States of America,231,Washington,USA048,
840,USA,United States of America,231,West Virginia,USA049,
840,USA,United States of America,231,Wisconsin,USA050,
840,USA,United States of America,231,Wyoming,USA051,
